level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2110	1860	-1	
2	1	1	0	0	0	55	1799	50	23	-1	
3	1	1	1	0	0	55	1799	50	23	-1	
4	1	1	1	1	0	55	1799	50	23	-1	
5	1	1	1	1	1	55	1799	50	23	96.113625	024
2	1	2	0	0	0	163	1799	49	23	-1	
3	1	2	1	0	0	163	1799	49	23	-1	
4	1	2	1	1	0	163	1799	49	23	-1	
5	1	2	1	1	1	163	1799	49	23	96.905952	025
2	1	3	0	0	0	277	1799	51	23	-1	
3	1	3	1	0	0	277	1799	51	23	-1	
4	1	3	1	1	0	277	1799	51	23	-1	
5	1	3	1	1	1	277	1799	51	23	96.623619	026
2	1	4	0	0	0	395	1799	49	23	-1	
3	1	4	1	0	0	395	1799	49	23	-1	
4	1	4	1	1	0	395	1799	49	23	-1	
5	1	4	1	1	1	395	1799	49	23	96.552048	027
2	1	5	0	0	0	569	1799	50	23	-1	
3	1	5	1	0	0	569	1799	50	23	-1	
4	1	5	1	1	0	569	1799	50	23	-1	
5	1	5	1	1	1	569	1799	50	23	96.509384	028
