level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2106	1966	-1	
2	1	1	0	0	0	1656	11	42	7	-1	
3	1	1	1	0	0	1656	11	42	7	-1	
4	1	1	1	1	0	1656	11	42	7	-1	
5	1	1	1	1	1	1656	11	42	7	18.071861	wen
2	1	2	0	0	0	1873	2	47	22	-1	
3	1	2	1	0	0	1873	2	47	22	-1	
4	1	2	1	1	0	1873	2	47	22	-1	
5	1	2	1	1	1	1873	2	47	22	96.200264	036
2	1	3	0	0	0	1897	121	56	59	-1	
3	1	3	1	0	0	1897	121	56	59	-1	
4	1	3	1	1	0	1897	121	56	59	-1	
5	1	3	1	1	1	1897	121	56	59	23.368996	lan
2	1	4	0	0	0	1823	203	83	11	-1	
3	1	4	1	0	0	1823	203	83	11	-1	
4	1	4	1	1	0	1823	203	83	11	-1	
5	1	4	1	1	1	1823	203	83	11	91.341438	COMMERCIAL
2	1	5	0	0	0	1565	240	42	7	-1	
3	1	5	1	0	0	1565	240	42	7	-1	
4	1	5	1	1	0	1565	240	42	7	-1	
5	1	5	1	1	1	1565	240	10	7	26.648796	wr
5	1	5	1	1	2	1603	240	4	7	24.662170	2228
2	1	6	0	0	0	1833	225	68	11	-1	
3	1	6	1	0	0	1833	225	68	11	-1	
4	1	6	1	1	0	1833	225	68	11	-1	
5	1	6	1	1	1	1833	225	68	11	96.598045	ENTRANCE
2	1	7	0	0	0	1183	251	48	7	-1	
3	1	7	1	0	0	1183	251	48	7	-1	
4	1	7	1	1	0	1183	251	48	7	-1	
5	1	7	1	1	1	1179	239	26	28	33.626701	ania
5	1	7	1	1	2	1214	239	17	28	63.031353	400
2	1	8	0	0	0	1660	235	46	23	-1	
3	1	8	1	0	0	1660	235	46	23	-1	
4	1	8	1	1	0	1660	235	46	23	-1	
5	1	8	1	1	1	1660	235	46	23	96.942856	035
2	1	9	0	0	0	1988	258	46	22	-1	
3	1	9	1	0	0	1988	258	46	22	-1	
4	1	9	1	1	0	1988	258	46	22	-1	
5	1	9	1	1	1	1988	258	46	22	96.754509	001
2	1	10	0	0	0	1775	328	19	5	-1	
3	1	10	1	0	0	1775	328	19	5	-1	
4	1	10	1	1	0	1775	328	19	5	-1	
5	1	10	1	1	1	1775	328	19	5	86.497246	wo
2	1	11	0	0	0	1200	353	70	9	-1	
3	1	11	1	0	0	1200	353	70	9	-1	
4	1	11	1	1	0	1200	353	70	9	-1	
5	1	11	1	1	1	1200	353	21	8	8.768227	WEA
5	1	11	1	1	2	1231	353	39	9	0.000000	2002
2	1	12	0	0	0	1553	344	70	8	-1	
3	1	12	1	0	0	1553	344	70	8	-1	
4	1	12	1	1	0	1553	344	70	8	-1	
5	1	12	1	1	1	1553	344	22	8	0.000000	waca
5	1	12	1	1	2	1590	344	33	8	20.246017	3406402
2	1	13	0	0	0	1660	337	47	22	-1	
3	1	13	1	0	0	1660	337	47	22	-1	
4	1	13	1	1	0	1660	337	47	22	-1	
5	1	13	1	1	1	1660	337	47	22	96.830849	034
2	1	14	0	0	0	1968	342	70	8	-1	
3	1	14	1	0	0	1968	342	70	8	-1	
4	1	14	1	1	0	1968	342	70	8	-1	
5	1	14	1	1	1	1968	342	22	8	29.634071	MEA
5	1	14	1	1	2	2000	342	38	7	10.439842	MNO
2	1	15	0	0	0	1884	341	37	37	-1	
3	1	15	1	0	0	1884	341	37	37	-1	
4	1	15	1	1	0	1884	341	37	37	-1	
5	1	15	1	1	1	1884	341	37	37	43.549595	a:
2	1	16	0	0	0	1553	450	70	8	-1	
3	1	16	1	0	0	1553	450	70	8	-1	
4	1	16	1	1	0	1553	450	70	8	-1	
5	1	16	1	1	1	1553	450	22	7	26.793701	sara
5	1	16	1	1	2	1589	450	34	8	24.316185	265680
2	1	17	0	0	0	1199	461	23	8	-1	
3	1	17	1	0	0	1199	461	23	8	-1	
4	1	17	1	1	0	1199	461	23	8	-1	
5	1	17	1	1	1	1199	461	23	8	54.170074	om
2	1	18	0	0	0	1231	461	38	8	-1	
3	1	18	1	0	0	1231	461	38	8	-1	
4	1	18	1	1	0	1231	461	38	8	-1	
5	1	18	1	1	1	1231	461	38	8	45.366325	12.0080
2	1	19	0	0	0	1661	437	45	22	-1	
3	1	19	1	0	0	1661	437	45	22	-1	
